ppid	indication_mesh_id
6709	D010051
15540	D015043
2918	D011471
7885	D001749
3080	D001249
14683	D001749
3080	D065631
16988	D016584
11893	D006192
3080	D009298
16988	D003863
3140	D008228
3119	D010149
9274	D003924
4399	D011552
4436	D059226
10766	D065768
17028	D006949
25853	D005901
3080	D012220
4357	D012874
4357	D014552
7851	D000544
19039	D057135
7314	D014693
9100	D006976
17028	D015228
12177	D020178
18272	D014545
12177	D020177
12177	D009290
14706	D003922
3140	D015470
10116	D007249
5596	D003233
6239	D015658
18382	D059226
11775	D006373
9100	D011928
13450	D009325
13450	D014839
13178	D005776
18272	D002386
2914	D050171
14214	D003863
14703	D012148
35510	D002289
33597	D002545
33597	D020521
31098	D011565
26969	D003924
22964	D012509
9994	D014009
9269	D003922
38178	D002289
36484	D011087
36354	D006976
36855	D015179
32124	D008113
32532	D055623
31728	D043183
32764	D003922
30778	D014839
30778	D009325
29734	D015535
29734	D001172
29052	D059352
28604	D013203
28604	D012874
27876	D003248
27741	D001943
25936	D012509
25542	D011655
25289	D007172
24484	D004828
22698	D010003
19736	D004827
19685	D059226
19074	D001749
19524	D053201
18979	D008881
18979	D004827
17878	D003882
23049	D055623
15805	D065768
15902	D006938
15715	D001851
15902	D050197
15586	D010300
14499	D054990
13342	D012559
13059	D006976
13517	D015179
12811	D010149
12528	D006949
12306	D012141
12306	D000292
15581	D007680
15669	D015451
13195	D006949
10397	D011014
10397	D012852
14464	D043183
14313	D006333
1195	D011565
6733	D001943
4716	D012141
6702	D000758
4323	D006973
18387	D006973
4377	D011014
12077	D007022
9692	D000758
19741	D012559
17985	D006073
14174	D015043
13434	D003093
14174	D005764
14836	D014693
1377	D000437
5813	D014839
5813	D009325
4609	D003876
14243	D006562
4609	D011565
6468	D009203
7350	D015451
9084	D010190
9084	D008223
9084	D006689
8045	D014839
8045	D009325
4703	D003863
4703	D009771
7312	D014549
1339	D011470
31309	D000071057
57456	D019247
7972	D003924
5752	D005901
16994	D054559
11991	D009325
11991	D014839
11991	D020250
4827	D006949
9084	D008175
36335	D009203
4423	D012852
12827	D008881
4416	D012141
4416	D005767
7870	D007247
7406	D011471
7197	D004827
18971	D006562
3391	D007751
2888	D000787
18207	D008593
18417	D003863
14996	D007319
11039	D014581
19737	D007319
17960	D007319
1460	D014693
1460	D017180
264	D008228
12087	D003924
13528	D002062
13528	D006073
10819	D000789
10819	D013921
14494	D004646
4744	D004829
19658	D001249
4279	D006258
4279	D055752
4279	D002583
4279	D011471
4243	D006973
18973	D001172
18973	D004412
13040	D006973
18530	D020250
10990	D000172
2028	D006973
18363	D004487
15684	D015270
18322	D010300
12953	D000789
14460	D011618
5317	D004715
2905	D006973
2905	D000787
5661	D004485
18388	D013514
18388	D008599
14721	D050197
14721	D015228
18502	D011020
4428	D014552
13565	D014549
18195	D004827
7203	D006973
10133	D059226
4503	D012859
18812	D011085
17177	D014693
1918	D005901
10143	D003233
13033	D020521
13033	D002545
7364	D065631
7488	D001943
10776	D054559
11054	D006973
10699	D013203
9974	D011470
6928	D008593
7184	D020528
6458	D006333
5819	D020961
5364	D019190
4643	D016491
3115	D010149
2982	D009203
505	D003924
242	D015470
1963	D012559
1963	D001714
7347	D002177
7347	D003453
31748	D004932
15001	D012559
14447	D014987
5356	D009190
7261	D014581
7151	D015658
10874	D007637
18974	D003586
1382	D016491
1218	D000152
10764	D015658
2105	D006255
7381	D052018
7381	D002032
9703	D005901
5475	D006255
5475	D004485
4672	D005767
4672	D060737
4672	D000881
4304	D013514
4304	D001932
4304	D008527
4304	D005909
7174	D006561
6707	D003267
10689	D002177
12093	D003863
16669	D020246
12849	D012120
4425	D012874
9164	D006973
4381	D014552
18201	D010003
9733	D006333
11018	D009369
4106	D005687
4106	D006966
17673	D001850
7473	D008545
19663	D007319
4739	D000152
11007	D001249
11007	D003233
9065	D054198
13069	D006333
18310	D009128
7421	D016584
4241	D051474
6536	D006973
2840	D007676
7419	D006949
5308	D011655
9352	D030361
9352	D006509
9352	D007943
11837	D010003
11837	D001171
11837	D001172
13442	D013276
9352	D008228
15700	D000690
13522	D002100
7887	D006949
2119	D012141
3982	D006973
6536	D001281
2044	D050171
7469	D013226
7876	D009393
5896	D009325
5896	D014839
13041	D006373
15669	D006689
5327	D018805
15906	D008581
12843	D006973
4495	D006967
4495	D014581
17811	D010024
19717	D011618
4483	D006937
57462	D001749
2119	D006069
2119	D011014
2119	D015270
16009	D012874
12191	D001249
18207	D010024
74730	D011565
1157	D006973
1157	D014693
43472	D009437
4411	D012141
1177	D006561
1177	D006562
4609	D012010
12077	D012735
12077	D020018
184563	D009293
1329	D010024
12262	D001249
16174	D006938
18521	D003924
17538	D006976
12850	D003863
3140	D012512
6709	D055752
6709	D013736
12997	D000787
8920	D003924
14683	D002289
16988	D009771
9015	D006934
18087	D007918
4357	D012141
4436	D059352
15574	D000787
12997	D006973
11893	D059413
7885	D002289
16619	D015275
7224	D015228
9015	D010024
15557	D010024
14049	D009101
5807	D020250
4327	D006973
12769	D012874
1369	D043183
24906	D007319
15718	D012559
7862	D003586
15572	D004942
17342	D003027
17342	D008881
14703	D010300
17899	D001943
4399	D006192
17904	D011470
4436	D010003
11490	D002177
15718	D001321
3414	D012516
5474	D020246
15572	D004381
18455	D007319
33413	D015658
33597	D011655
32069	D006526
30230	D003924
28869	D013514
28951	D015464
22964	D015464
24988	D011471
22964	D054198
19577	D002289
16253	D018358
14236	D002289
68818	D008180
25653	D001281
35985	D009101
35988	D008545
34938	D015464
34876	D020178
29734	D011565
28604	D011014
25985	D011471
25936	D007680
24149	D013964
24278	D000079689
19685	D009437
19524	D001750
18511	D011471
19051	D004827
18276	D029424
17878	D006086
23049	D018307
24189	D004828
15902	D006937
23049	D018295
15902	D050171
15068	D003248
15669	D016403
14742	D003929
27542	D009437
25093	D000740
19685	D000072716
18276	D001249
17024	D007172
15715	D010024
17658	D008060
18282	D015658
13178	D009542
2914	D006937
11485	D059413
10775	D016481
7306	D000505
1298	D006373
9649	D003928
9649	D006973
7481	D008881
13024	D011471
4716	D012874
4378	D007239
4378	D012874
4377	D009059
4377	D004427
4377	D010033
12077	D014549
4716	D010033
7464	D006973
7391	D007249
17985	D013167
17993	D011470
16996	D000758
17985	D001172
14174	D004381
4606	D009181
4356	D007239
4609	D006086
4781	D020521
4781	D002545
14243	D006561
2046	D011020
17985	D001171
12100	D006333
18368	D001943
8045	D020250
14641	D030361
10775	D013276
43072	D014811
6388	D010300
17300	D012874
17300	D009181
5694	D000787
16994	D007676
11991	D005764
19014	D001008
19014	D003865
7442	D001249
3163	D002177
4812	D011618
1433	D058186
1433	D011183
18971	D006561
16985	D060737
15704	D004427
15704	D014605
12191	D004485
15564	D006333
13105	D005764
13105	D013276
18504	D003863
4260	D001714
24046	D003267
6444	D006976
1418	D004485
12759	D004715
4279	D013736
4279	D010051
4751	D006967
12114	D006973
5769	D006934
17236	D015658
7365	D007319
5658	D059226
5658	D059352
7876	D014552
18973	D059352
9754	D009181
4412	D012852
4412	D012141
4412	D006192
10112	D005767
10112	D002177
10990	D010300
15558	D015179
18363	D006973
12173	D003863
19732	D007319
1499	D015658
5473	D000758
1338	D059226
1338	D000758
4280	D000028
13548	D060737
5661	D011565
