map_type	n	proportion
UNMAPPED	1615	0.26375959496978607
REVERSE SUBSTRING MATCH	1518	0.24791768740813327
CUI_MATCH	621	0.10142087212150906
UMLS_MEDDRA	576	0.09407153356197942
MM_CUI	492	0.08035276825085742
LOOKUP_EXACT_UMLS_TERM	299	0.04883227176220807
MANUAL_CURATION	294	0.048015678588927
LOOKUP_TRIMMED_UMLS_TERM	146	0.023844520659807283
TERM_MATCH	130	0.021231422505307854
EFO_MAP	119	0.019434917524089497
FUZZY_MATCH	110	0.01796504981218357
LOOKUP_REARRANGED	57	0.009309162175404213
LOOKUP_EXACT_MEDDRA_TERM	42	0.006859382655560999
DATASETS_XREF	38	0.006206108116936142
UMLS	24	0.0039196472317491425
LOOKUP_TRIMMED_MEDDRA_TERM	18	0.002939735423811857
LOOKUP_WITH_REPLACEMENT	15	0.002449779519843214
LOOKUP_EXACT_UMLS_TERM_2023	9	0.0014698677119059284
