var1	x	var2	y	or	p	yy	idx	color
geninsight	4	geninsight	2	Inf	0	750141	Inf	#000000
geninsight	4	target_enriched	1	1.2973993975579339	4.0669714722177834e-44	9047	1	#DEF2D8
observed	1	geninsight	2	1.419813911207475	0	45475	1	#DBF1D6
observed	1	observed	5	Inf	0	64481	Inf	#000000
observed	1	sim_assoc	4	2.3249309090027106	7.084276775105234e-93	829	1	#CFECC8
observed	1	sim_indic	3	4.736313597632303	1.599275954711143e-115	378	2	#B9E3B3
observed	1	target_enriched	1	22.1628803954966	0	6993	3	#81CA81
sim_assoc	2	geninsight	2	73.81934243795338	0	7028	4	#4EB163
sim_assoc	2	sim_assoc	4	Inf	0	7084	Inf	#000000
sim_assoc	2	sim_indic	3	31.6198781498578	3.0377277813682864e-286	274	3	#74C476
sim_assoc	2	target_enriched	1	2.569631024641479	1.4825547198231418e-29	196	1	#CCEBC5
sim_indic	3	geninsight	2	5.436458997402414	5.199199387487515e-151	1602	2	#B5E1AE
sim_indic	3	sim_indic	3	Inf	0	1774	Inf	#000000
sim_indic	3	target_enriched	1	6.131617033115518	1.0565199639474415e-48	113	2	#B1DFAA
target_enriched	5	target_enriched	1	Inf	0	13122	Inf	#000000
