se_mesh_id	se_mesh_term	n_drugs_with_this_se
D009325	Nausea	501
D005076	Exanthema	474
D014839	Vomiting	449
D011537	Pruritus	437
D003248	Constipation	375
D004415	Dyspepsia	357
D003141	Communicable Diseases	344
D009422	Nervous System Diseases	338
D063806	Myalgia	327
D000855	Anorexia	325
D000077260	Sleepiness	321
D010292	Paresthesia	311
D014474	Unconsciousness	281
D013575	Syncope	269
D003221	Confusion	263
D006470	Hemorrhage	254
D008477	Mediastinal Diseases	254
D015354	Vision, Low	243
D000707	Anaphylaxis	240
D023341	Chills	234
D014552	Urinary Tract Infections	229
D005414	Flatulence	228
D004844	Epistaxis	219
D004478	Ectoparasitic Infestations	211
D005483	Flushing	209
D015430	Weight Gain	201
D006987	Hypesthesia	199
D008111	Liver Function Tests	190
D015431	Weight Loss	190
D001919	Bradycardia	189
D006425	Hemic and Lymphatic Diseases	177
D001066	Appetite	169
D010591	Phantom Limb	169
D013280	Stomatitis	169
D019584	Hot Flashes	168
D007989	Libido	167
D000339	Affect	160
D014947	Wounds and Injuries	146
D004325	Dreams	145
D004423	Ear	134
D010198	Pancytopenia	126
D013894	Thirst	125
D006471	Gastrointestinal Hemorrhage	124
D053609	Lethargy	124
D003404	Creatinine	121
D001986	Bronchial Spasm	119
D004172	Diplopia	114
D004433	Earache	107
D000469	Alkaline Phosphatase	106
D004438	Ecchymosis	105
D000072281	Lymphadenopathy	100
D059352	Musculoskeletal Pain	100
D008551	Melena	98
D019547	Neck Pain	95
D004884	Eructation	92
D006948	Hyperkinesis	92
D005059	Euphoria	90
D011654	Pulmonary Edema	90
D011597	Psychomotor Performance	88
D020795	Photophobia	88
D003288	Contusions	87
D014508	Urea	85
D000081084	Accidental Injuries	83
D009336	Necrosis	83
D014456	Ulcer	83
D059373	Mastodynia	83
D001288	Attention	82
D003128	Coma	82
D003244	Consciousness Disorders	82
D000374	Aggression	77
D006606	Hiccup	76
D014664	Vasodilation	76
D005928	Glossitis	74
D006406	Hematoma	73
D014060	Tongue Diseases	71
D018879	Ventricular Premature Complexes	71
