dse_uid	drug_name	se_mesh_id	se_mesh_term	indication_mesh_id	indication_mesh_term	se_indic_similarity	gene	assoc_mesh_id	assoc_mesh_term	se_assoc_similarity	arow	assoc_source	assoc_info	assoc_orig	target_or	target_p	fdr	target_enriched	observed	genetic_insight	numfreq	wordfreq	wordrank	placebo	n_se	n_drugs	max_severity	sim_assoc	sim_indic	geninsight	wordrank_ordinal
amiodarone-D013610	amiodarone	D013610	Tachycardia	D017180	Tachycardia, Ventricular	0.876	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both					175	558	0.73	TRUE	FALSE	TRUE	
amlodipine-D013610	amlodipine	D013610	Tachycardia	D000787	Angina Pectoris	0.441	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both					130	558	0.73	TRUE	FALSE	TRUE	
anagrelide-D013610	anagrelide	D013610	Tachycardia	D011087	Polycythemia Vera	0.204	PDE3A	D013610	Tachycardia	1	361897	OTG		Resting heart rate	1.8876121337442278	1	1	FALSE	TRUE	both	0.075			FALSE	147	558	0.73	TRUE	FALSE	TRUE	
bepridil-D013610	bepridil	D013610	Tachycardia	D000787	Angina Pectoris	0.441	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	FALSE	both					62	558	0.73	TRUE	FALSE	TRUE	
cilostazol-D013610	cilostazol	D013610	Tachycardia	D020521	Stroke	0.409	PDE3A	D013610	Tachycardia	1	361897	OTG		Resting heart rate	1.8876121337442278	1	1	FALSE	TRUE	both	0.04			TRUE	154	558	0.73	TRUE	FALSE	TRUE	
clevidipine-D013610	clevidipine	D013610	Tachycardia	D006973	Hypertension	0.421	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both				FALSE	13	558	0.73	TRUE	FALSE	TRUE	
diltiazem-D013610	diltiazem	D013610	Tachycardia	D000787	Angina Pectoris	0.441	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both	0.02			FALSE	173	558	0.73	TRUE	FALSE	TRUE	
disopyramide-D013610	disopyramide	D013610	Tachycardia	D014693	Ventricular Fibrillation	0.728	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both					87	558	0.73	TRUE	FALSE	TRUE	
dofetilide-D013610	dofetilide	D013610	Tachycardia	D001281	Atrial Fibrillation	0.756	KCNH2	D013610	Tachycardia	1	260207	OTG		Electrocardiographic traits [QT interval]	1.8876121337442278	1	1	FALSE	FALSE	both					52	558	0.73	TRUE	FALSE	TRUE	
donepezil-D013610	donepezil	D013610	Tachycardia	D015140	Dementia, Vascular	0.37	ACHE	D013610	Tachycardia	1	6854	PICCOLO	gtex-v6p-adipose-subcutaneous	heart_rate	0.9412499531562089	0.9999999999999999	1	FALSE	FALSE	both					262	558	0.73	TRUE	FALSE	TRUE	
felodipine-D013610	felodipine	D013610	Tachycardia	D000787	Angina Pectoris	0.441	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both					84	558	0.73	TRUE	FALSE	TRUE	
flecainide-D013610	flecainide	D013610	Tachycardia	D001281	Atrial Fibrillation	0.756	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both					119	558	0.73	TRUE	FALSE	TRUE	
galantamine-D013610	galantamine	D013610	Tachycardia	D000544	Alzheimer Disease	0.214	ACHE	D013610	Tachycardia	1	6854	PICCOLO	gtex-v6p-adipose-subcutaneous	heart_rate	0.9412499531562089	0.9999999999999999	1	FALSE	TRUE	both					143	558	0.73	TRUE	FALSE	TRUE	
hydralazine-D013610	hydralazine	D013610	Tachycardia	D006973	Hypertension	0.421	CACNA1C	D013610	Tachycardia	1	72041	OTG		Resting heart rate	5.3303363643468975	0.021736377971714765	0.17400153332148202	FALSE	TRUE	both		very common	5	FALSE	76	558	0.73	TRUE	FALSE	TRUE	5
ibutilide-D013610	ibutilide	D013610	Tachycardia	D001281	Atrial Fibrillation	0.756	SCN5A	D013610	Tachycardia	1	439116	OTG		Electrocardiographic conduction measures [QRS duration - CHARGE]	4.331216741446916	0.06417399910837382	0.2912911825588876	FALSE	TRUE	both	0.027000000000000003			TRUE	21	558	0.73	TRUE	FALSE	TRUE	
ipratropium-D013610	ipratropium	D013610	Tachycardia	D029424	Pulmonary Disease, Chronic Obstructive	0.212	CHRM2	D013610	Tachycardia	1	103351	OTG		Heart rate	Inf	0.06195878589885401	0.2865959248737045	FALSE	TRUE	both				FALSE	104	558	0.73	TRUE	FALSE	TRUE	
